experimenter,location,study_name,SID,age,gender,hispanic,ethnicity,english,num_lang,parent_ed,other_ed,"premie (1=yes, 0=no)",Exclude,Video?,Condition,X side (from experimenter perspective),A first or B?,Comments
Benny,Bing,soc_ref_cat,020218_01,5.1,,,,,,,,,n,y,2,R,B,
Benny,Bing,soc_ref_cat,020218_02,4.8,,,,,,,,,n,y,2,R,B,
Benny,Bing,soc_ref_cat,020718_01,3.5,,,,,,,,,y,y,1,R,B,exclude - video lost
Benny,Bing,soc_ref_cat,020718_02,5.3,,,,,,,,,y,y,2,R,B,exclude - video lost
Benny,Bing,soc_ref_cat,020918_01,4.9,,,,,,,,,n,y,1,R,A,practice out of order
Benny,Bing,soc_ref_cat,020918_02,4.6,,,,,,,,,n,y,2,R,A,
Benny,Bing,soc_ref_cat,020918_03,5,,,,,,,,,y,n,1,R,A,exclude- no video data
,,,021418_01,4.9,,,,,,,,,n,y,1,R,A,
,,,021418_03,5.3,,,,,,,,,y,y,1,R,A,exclude - no tracker data
,,,021618_01,5.3,,,,,,,,,y,y,3,R,B,exclude - out of order
,,,021618_02,4.5,,,,,,,,,n,y,2,R,B,
,,,021618_03,3.9,,,,,,,,,n,y,1,R,B,
,,,022118_01,4.6,,,,,,,,,n,y,1,R,B,
,,,022118_02,4.7,,,,,,,,,n,y,2,R,B,
,,,022818_01,5.4,,,,,,,,,n,y,1,R,A,
,,,030218_01,5.1,,,,,,,,,n,y,2,R,A,
,,,030218_02,3.5,,,,,,,,,n,y,1,R,A,
,,,041718_01,4.7,,,,,,,,,n,y,2,R,B,
,,,041718_02,4.6,,,,,,,,,n,y,2,R,B,
,,,042018_01,4,,,,,,,,,n,y,1,R,A,
,,,042018_02,4.4,,,,,,,,,n,y,1,R,A,
,,,042018_03,5.3,,,,,,,,,n,y,2,R,A,
,,,042418_01,4.9,,,,,,,,,n,y,2,R,B,
,,,042418_02,4.8,,,,,,,,,n,y,2,R,B,
,,,042418_03,4.8,,,,,,,,,y,y,1,R,B,exclude - no tracker data
,,,042618_01,4.4,,,,,,,,,n,y,1,R,A,
,,,042618_02,5.3,,,,,,,,,n,y,1,R,A,
,,,042618_03,4.6,,,,,,,,,n,y,2,R,A,
,,,042718_01,4.8,,,,,,,,,n,y,1,R,B,
,,,042718_02,4,,,,,,,,,n,y,1,R,B,
,,,050118_01,4.4,,,,,,,,,n,y,1,R,B,
,,,050118_02,3.7,,,,,,,,,n,y,2,R,A,
,,,050318_02,5.3,,,,,,,,,n,y,2,R,A,
,,,050318_03,5.3,,,,,,,,,y,y,2,R,A,exclude - could not calibrate
,,,050318_04,4.6,,,,,,,,,n,y,2,R,A,bad calibration - proceeded through test anyway
,,,050418_01,3.5,,,,,,,,,n,y,2,R,A,
,,,050418_02,4.9,,,,,,,,,n,y,2,R,A,
