Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01
0,200124,202912,1,L,0,125630,125630,,0,416631,416631,,0,42058,42058,
1,204510,207434,1,L,,,,,,,,,,,,
2,208930,210732,3,R,,,,,,,,,,,,
3,212806,217872,4,R,,,,,,,,,,,,
4,219980,223822,5,L,,,,,,,,,,,,
5,225556,229330,6,L,,,,,,,,,,,,
6,231200,234260,7,R,,,,,,,,,,,,
7,278392,281588,8,L,,,,,,,,,,,,
8,283356,296480,9,L,,,,,,,,,,,,
9,298248,301002,10,L,,,,,,,,,,,,
10,302226,304266,11,L,,,,,,,,,,,,
11,305592,307428,12,R,,,,,,,,,,,,
12,308754,313684,13,L,,,,,,,,,,,,
13,314840,317186,14,L,,,,,,,,,,,,
14,372130,376142,15,R,,,,,,,,,,,,
15,377536,380562,16,L,,,,,,,,,,,,
16,381718,388926,17,L,,,,,,,,,,,,
17,390456,393312,18,R,,,,,,,,,,,,
18,395624,398208,19,R,,,,,,,,,,,,
19,400214,404668,20,L,,,,,,,,,,,,
20,406198,411944,21,L,,,,,,,,,,,,
21,463046,466038,22,R,,,,,,,,,,,,
22,467602,470628,23,L,,,,,,,,,,,,
23,472430,474742,24,L,,,,,,,,,,,,
24,476544,478720,25,R,,,,,,,,,,,,
25,479774,482494,26,R,,,,,,,,,,,,
26,484432,486302,27,L,,,,,,,,,,,,
27,487764,491232,28,L,,,,,,,,,,,,
