Trial.ordinal,Trial.onset,Trial.offset,Trial.Number,Trial.side,camera.ordinal,camera.onset,camera.offset,camera.code01,extcam_length.ordinal,extcam_length.onset,extcam_length.offset,extcam_length.code01,webcam.ordinal,webcam.onset,webcam.offset,webcam.code01,
0,387158,391068,"1","L",0,270844,270844,"",0,516071,516071,"",0,64124,64124,"",
1,392564,395964,"2","R",,,,,,,,,,,,,
2,397732,401030,"3","L",,,,,,,,,,,,,
3,402526,406232,"4","R",,,,,,,,,,,,,
4,408000,410516,"5","L",,,,,,,,,,,,,
5,412551,417078,"6","L",,,,,,,,,,,,,
6,418438,421566,"7","R",,,,,,,,,,,,,
7,471886,474844,"8","L",,,,,,,,,,,,,
8,478924,484534,"9","L",,,,,,,,,,,,,
9,486098,488852,"10","R",,,,,,,,,,,,,
10,490756,493102,"11","L",,,,,,,,,,,,,
11,494632,499052,"12","L",,,,,,,,,,,,,
12,500616,519520,"13","R",,,,,,,,,,,,,
13,521118,541994,"14","L",,,,,,,,,,,,,
14,592280,596768,"15","R",,,,,,,,,,,,,
15,598196,601120,"16","L",,,,,,,,,,,,,
16,602582,605914,"17","R",,,,,,,,,,,,,
17,607716,610163,"18","L",,,,,,,,,,,,,
18,611660,613904,"19","R",,,,,,,,,,,,,
19,615604,617780,"20","L",,,,,,,,,,,,,
20,619276,623900,"21","R",,,,,,,,,,,,,
21,667386,670174,"22","L",,,,,,,,,,,,,
22,671976,680476,"23","R",,,,,,,,,,,,,
23,682108,687786,"24","L",,,,,,,,,,,,,
24,689826,694518,"25","R",,,,,,,,,,,,,
25,696966,701828,"26","R",,,,,,,,,,,,,
26,703562,708492,"27","R",,,,,,,,,,,,,
27,710226,714782,"28","L",,,,,,,,,,,,,
